table,error,time
"﻿PRD_ERP_CLEANUP1_MV","error: 	CALL DBMS_MVIEW.REFRESH('﻿PRD_ERP_CLEANUP1_MV','C')              * ERROR at line 1: ORA-20000: ORA-01031: insufficient privileges ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 3012 ORA-06512: at ""SYS.DBMS_IREFRESH"", line 186 ORA-06512: at ""SYS.DBMS_ISNAPSHOT"", line 189 ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 2844 ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 3255 ORA-06512: at ""SYS.DBMS_SNAPSHOT_KKXRCA"", line 3287 ORA-06512: at ""SYS.DBMS_SNAPSHOT"", line 16 ORA-06512: at line 1 ","2024-11-22 14:13:02"
"PRD_ERP_CLEANUP1_MV","error:  Call completed. ","2024-11-22 14:13:29"
"PRD_ERP_CLEANUP_MV","error:  Call completed. ","2024-11-22 14:13:36"
"STCS_ERP_CN_MV ","error:  Call completed. ","2024-11-22 14:13:37"
"PRD_ERP_CLEANUP2_MV","error:  Call completed. ","2024-11-22 14:13:51"
"PRD_ERP_GL_CLEANUP_MV","error:  Call completed. ","2024-11-22 14:13:55"
"PRD_ERP_GL_DIA_CLEANUPMV","error:  Call completed. ","2024-11-22 14:13:58"
"PRD_ERP_DIA_GL_CLEANUP2_MV","error:  Call completed. ","2024-11-22 14:13:59"
"PRD_ERP_GL_VSAT_CLEANUPMV","error:  Call completed. ","2024-11-22 14:14:01"
"PRD_ERP_VSAT_GL_CLEANUP2_MV","error:  Call completed. ","2024-11-22 14:14:01"
"PRD_ERP_VSAT_GL_RECON_MV","error:  Call completed. ","2024-11-22 14:14:03"
"PRD_GL_ERP_MV","error:  Call completed. ","2024-11-22 14:14:30"
"PRD_ERP_DIA_GL_RECON_MV","error:  Call completed. ","2024-11-22 14:14:33"
"PRD_ERP_RANK ","error:  Call completed. ","2024-11-22 14:14:52"
"PRD_ERP_DIA_MV","error:  Call completed. ","2024-11-22 14:14:53"
"PRD_ERP_VSAT_MV","error:  Call completed. ","2024-11-22 14:14:53"
"PRD_GRANITE_CLEANUP","error:  Call completed. ","2024-11-22 14:15:11"
"PRD_GRANITE_RANK","error:  Call completed. ","2024-11-22 14:15:30"
"PRD_DIA_VSAT_TICKET_ROOTCAUSE","error:  Call completed. ","2024-11-22 14:15:32"
"PRD_GRANITE_DIA_MV","error:  Call completed. ","2024-11-22 14:15:32"
"PRD_GRANITE_VSAT_MV","error:  Call completed. ","2024-11-22 14:15:33"
"PRD_ACTIVEDIA_MV1","error:  Call completed. ","2024-11-22 14:15:36"
"PRD_ACTIVEDIA_MV","error:  Call completed. ","2024-11-22 14:15:37"
"PRD_ACTIVEVSAT_MV1","error:  Call completed. ","2024-11-22 14:15:44"
"PRD_ACTIVEVSAT_MV","error:  Call completed. ","2024-11-22 14:15:45"
"PRD_PRODUCT_DETADV","error:  Call completed. ","2024-11-22 14:15:48"
"PRD_DYNAMICS_MERGE_MV","error:  Call completed. ","2024-11-22 14:15:50"
"PRD_DYNAMIC_MERGE_OTHERPRODUCT","error:  Call completed. ","2024-11-22 14:15:56"
"PRD_DYNAMICS_RANK_GRANITE","error:  Call completed. ","2024-11-22 14:15:56"
"PRD_ERP_DYNAMIC_DIA_MV","error:  Call completed. ","2024-11-22 14:15:57"
"PRD_DELAY_DEL_VSAT_CLEANUP_MV","error:  Call completed. ","2024-11-22 14:16:03"
"PRD_DELAY_DEV_DIA_CLEANUP_MV","error:  Call completed. ","2024-11-22 14:16:14"
"PRD_DIA_PRICEMAT_CLEANUP_MV","error:  Call completed. ","2024-11-22 14:16:15"
"PRD_VSAT_PRICEMAT_CLEANUP_MV","error:  Call completed. ","2024-11-22 14:16:15"
"PRD_DIA_TICKET_CLEANUP_MV","error:  Call completed. ","2024-11-22 14:16:18"
"PRD_DIA_TICKET_CLEANUP_1_MV","error:  Call completed. ","2024-11-22 14:16:30"
"PRD_CUST_COMPLAINT_VSAT_DIA","error:  Call completed. ","2024-11-22 14:16:32"
"PRD_DIA_TICKET_RECON_ROOTCAUSE","error:  Call completed. ","2024-11-22 14:16:32"
"PRD_VSAT_TICKET_CLEANUP_MV","error:  Call completed. ","2024-11-22 14:16:35"
"PRD_VSAT_TICKET_RECON_ROOTCAUSE","error:  Call completed. ","2024-11-22 14:16:35"
"PRD_DYNBANDWIDTH_MV","error:  Call completed. ","2024-11-22 14:16:35"
"PRD_GRANITE_DIA_CANCELLED_MV","error:  Call completed. ","2024-11-22 14:17:07"
"PRD_GRANITE_VSAT_CANCELLED_MV","error:  Call completed. ","2024-11-22 14:17:10"
"PRD_GRANITE_VSAT_CANCELLED2_MV","error:  Call completed. ","2024-11-22 14:17:11"
"ERP_BILLING_VALIDATION","error:  Call completed. ","2024-11-22 14:22:13"
"PRD_CUST_COMPLAINT_VSAT_FAULTY","error:  Call completed. ","2024-11-22 14:22:13"
"PRD_DELAY_DEV_DIA_RECON","error:  Call completed. ","2024-11-22 14:22:16"
"PRD_DELAY_DEV_VSAT_RECON","error:  Call completed. ","2024-11-22 14:22:17"
"PRD_DIA_PRICEMAT_RECON","error:  Call completed. ","2024-11-22 14:22:18"
"PRD_DYNAMICS_RANK_AGW","error:  Call completed. ","2024-11-22 14:22:18"
"PRD_DYNBANDWIDTH_MV_AGW","error:  Call completed. ","2024-11-22 14:22:18"
"PRD_DYNACTIVE_BANDWIDTH","error:  Call completed. ","2024-11-22 14:22:19"
"PRD_DYNVSACTIVE_RECON12","error:  Call completed. ","2024-11-22 14:22:20"
"PRD_DYNERP_BANDWIDTH","error:  Call completed. ","2024-11-22 14:22:21"
"PRD_DYNGRANITE_BANDWIDTH","error:  Call completed. ","2024-11-22 14:22:21"
"PRD_DYNAMICS_RANK_ERP","error:  Call completed. ","2024-11-22 14:22:21"
"PRD_DYNBANDWIDTH_MV_ERP","error:  Call completed. ","2024-11-22 14:22:22"
"PRD_DYNVSERP_RECON12","error:  Call completed. ","2024-11-22 14:22:22"
"PRD_DYNVSGRAN_RECON12","error:  Call completed. ","2024-11-22 14:22:23"
"PRD_ERPVSACTIVEDIA_BANDWIDTH","error:  Call completed. ","2024-11-22 14:22:23"
"PRD_ERPVSACTIVEDIA_RECON12","error:  Call completed. ","2024-11-22 14:22:26"
"PRD_ERPVSACTIVEVSAT_BANDWIDTH","error:  Call completed. ","2024-11-22 14:22:26"
"PRD_ERPVSACTIVEVSAT_RECON12","error:  Call completed. ","2024-11-22 14:22:35"
"PRD_ERPVSGRANITEVSAT_BANDWIDTH","error:  Call completed. ","2024-11-22 14:22:44"
"PRD_ERPVSGRANITEDIA_BANDWIDTH","error:  Call completed. ","2024-11-22 14:22:53"
"PRD_ERPVSGRANITEDIA_RECON12","error:  Call completed. ","2024-11-22 14:23:04"
"PRD_ERPVSGRANITEDIA_RECON12_MV","error:  Call completed. ","2024-11-22 14:23:04"
"PRD_ERPVSGRANITEVSAT_RECON12","error:  Call completed. ","2024-11-22 14:23:15"
"PRD_ERP_GRDIA_ACTDEACT_RECON","error:  Call completed. ","2024-11-22 14:23:15"
"PRD_ERP_GRVSAT_ACTDEACT_RECON","error:  Call completed. ","2024-11-22 14:23:16"
"PRD_GRANITEACTIVEDIA_RECON12","error:  Call completed. ","2024-11-22 14:23:16"
"PRD_GRANITEVSACTIVE_BANDWIDTH","error:  Call completed. ","2024-11-22 14:23:17"
"PRD_GRANITE_DIA_CAN_RECON","error:  Call completed. ","2024-11-22 14:23:19"
"PRD_GRANITE_VSAT_CANCELRECON","error:  Call completed. ","2024-11-22 14:23:21"
"PRD_GRANIVSACTVSAT_RECON12","error:  Call completed. ","2024-11-22 14:23:25"
"PRD_GRANVSACTVSAT_BANDWIDTH","error:  Call completed. ","2024-11-22 14:23:26"
"PRD_VSAT_PRICEMAT_RECON","error:  Call completed. ","2024-11-22 14:23:26"
"STC_GL_RBM_MV_AGGREGATED","error:  Call completed. ","2024-11-22 14:25:36"
"PRD_MONTHLY_TREND_REV_GL_OTHERS","error:  Call completed. ","2024-11-22 14:25:36"
"PRD_GRANITE_MRS_AGGREGATE","error:  Call completed. ","2024-11-22 14:28:36"
"PRD_GRANITE_RANK_OP","error:  Call completed. ","2024-11-22 14:29:33"
"PRD_GRANITE_RANK_OP2","error:  Call completed. ","2024-11-22 14:29:53"
"prd_granite_rank_crmasset","error:  Call completed. ","2024-11-22 14:29:54"
"PRD_CUSTOMER_COMPLAINT_MRS","error:  Call completed. ","2024-11-22 14:29:54"
"PRD_ACTIVEMRS_VS_GRANITERANKOP","error:  Call completed. ","2024-11-22 14:30:03"
"PRD_ACTIVEMRS_VS_GRANITEOP2","error:  Call completed. ","2024-11-22 14:30:04"
"PRD_ACTIVEMRS_GRANITE_CRMASSET","error:  Call completed. ","2024-11-22 14:30:05"
"PRD_ACTIVEMRS_MV","error:  Call completed. ","2024-11-22 14:30:10"
"PRD_ACTVSGRA_MRS_BANDWIDTH","error:  Call completed. ","2024-11-22 14:30:11"
"PRD_ACTIVEGRANITEMRS_RECON12","error:  Call completed. ","2024-11-22 14:30:26"
"PRD_GRANITE_MRS_DELAY_CLEANUP","error:  Call completed. ","2024-11-22 14:32:43"
"PRD_DELAY_DEV_MRS_RECON","error:  Call completed. ","2024-11-22 14:32:54"
"prd_granite_ms_delay_cleanup","error:  Call completed. ","2024-11-22 14:32:56"
"PRD_DELAY_DEV_MS_RECON","error:  Call completed. ","2024-11-22 14:32:57"
"stc_gl_rbm_r_1MV","error:  Call completed. ","2024-11-22 14:37:35"
"PRD_CREDIT_NOTE_DIA_VSAT_RECON","error:  Call completed. ","2024-11-22 14:37:36"
"PRD_DIA_GL_INVOICES_RECON","error:  Call completed. ","2024-11-22 14:37:41"
"PRD_DYNAMICS_MERGE_MRS_MV","error:  Call completed. ","2024-11-22 14:37:48"
"PRD_DYNAMICS_RANK_MRS_MV","error:  Call completed. ","2024-11-22 14:37:49"
"PRD_DYNAMICVSGRANITE_MRS_RECON","error:  Call completed. ","2024-11-22 14:39:05"
"PRD_DYNVSACTIVE_MRS_RECON_MV","error:  Call completed. ","2024-11-22 14:39:07"
"PRD_GRANITE_MRS_CAN_RECON","error:  Call completed. ","2024-11-22 14:39:24"
"PRD_GRANITE_MS_CAN_RECON","error:  Call completed. ","2024-11-22 14:39:24"
"PRD_MRS_GL_INVOICES_RECON","error:  Call completed. ","2024-11-22 14:39:28"
"STC_GL_RBM_U_1MV","error:  Call completed. ","2024-11-22 14:39:29"
"PRD_VSAT_GL_INVOICES_RECON","error:  Call completed. ","2024-11-22 14:39:33"
"PRD_CLOUD_GL_INVOICES_RECON","error:  Call completed. ","2024-11-22 14:39:33"
"PRD_MONTHLY_TREND_REV_STCBILLING_MS","error:  Call completed. ","2024-11-22 14:39:33"
"PRD_MONTHLY_TREND_REV_GL_DIA_VSAT","error:  Call completed. ","2024-11-22 14:39:34"
"PRD_MONTHLY_TREND_REVENUE_GL_MV","error:  Call completed. ","2024-11-22 14:39:34"
"PRD_AMALNET_GL_INVOICES_RECON","error:  Call completed. ","2024-11-22 14:39:37"
"PRD_DIGITAL_GL_INVOICES_RECON","error:  Call completed. ","2024-11-22 14:39:41"
"PRD_DIGITALGS_GL_INVOICES_RECON","error:  Call completed. ","2024-11-22 14:39:44"
"PRD_FLEET_GL_INVOICES_RECON","error:  Call completed. ","2024-11-22 14:40:03"
"PRD_MNS_GL_INVOICES_RECON","error:  Call completed. ","2024-11-22 14:40:06"
"prd_mss_gl_invoices_recon","error:  Call completed. ","2024-11-22 14:40:09"
"prd_ispan_gl_invoices_recon","error:  Call completed. ","2024-11-22 14:40:13"
