Table Name,Error, Number of Records Exported ,Exported Filename,Export Datetime,Time Taken,Destination Table Name, Number of Records Imported ,Error Message,
/home/sdev/ROOT/Granite/DIA,No,80875,DIA_Apr-2024.csv,4/3/2024 15:44,-0.001445,PRD_GRANITE,80875,,/u01/RA_OPS/Test_New_Loader/Final/GraniteDIA
stc_marketplace_service_management_phase,No,8615,stc_marketplace_service_management_phase-2024_01_12.csv,1/18/2024 11:01,-0.000186,a_phase,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/Granite/MRS,No,42216,MDIA_Feb-2024.csv,2/8/2024 12:32,-0.000152,PRD_GRANITE_MRS_FILES,42216,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
vcd_customer_info,No,6232,vcd_customer_info-2024_01_12.csv,1/18/2024 11:20,-0.000146,PRD_VDC_FIN_CUSTOMER_INFO,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/Granite/MRS,No,42067,MDIA_Dec-2023.csv,2/8/2024 12:31,-0.000134,PRD_GRANITE_MRS_FILES,42067,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
ombilling_instance_image,No,396893,ombilling_instance_image-2024_02_02.csv,2/5/2024 17:12,-0.000133,PRD_VDC_FIN_INSATNCE_IMAGE,396893,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/Granite/DIA,No,34661,DIAL_Apr-2024.csv,4/3/2024 15:42,-0.000131,PRD_GRANITE,34661,,/u01/RA_OPS/Test_New_Loader/Final/GraniteDIA
gls_revunue,No,253590,gls_revunue_May-2024.csv,5/5/2024 9:43,-6.30E-05,STC_GL_RBM_R,253590,,/u01/RA_OPS/Test_New_Loader/Final/gls
/home/sdev/ROOT/Granite/DIA,No,80499,DIA_Feb-2024.csv,2/8/2024 12:37,-0.000127,PRD_GRANITE,80499,,/u01/RA_OPS/Test_New_Loader/Final/GraniteDIA
/home/sdev/ROOT/ERP/STCS Project Inventory Report,No,628,STCS Project Inventory Report_May-2023.csv,2/5/2024 16:38,-0.000126,PRD_PROJECT_INVENTORY_REPORT,628,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_Project_Inventory_Report
RA_CUSTOMER_REVENUE_ASSURANCE,No,3016,RA_CUSTOMER_REVENUE_ASSURANCE_May-2024.csv,5/5/2024 9:43,-5.40E-05,prd_erp,3016,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_Customer_Revenue_Assurance_Report
stc_marketplace_service_management_planprice,No,8590,stc_marketplace_service_management_planprice-2024_02_02.csv,2/5/2024 16:33,-0.000122,A_PLAN_PRICE,8590,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/ERP/STCS On-Hand Quantity Report,No,1118,STCS On-Hand Quantity Report_02-Mar-2024.csv,4/3/2024 13:21,-0.00012,PRD_STCS_ON_HAND_QTY_PROJECT,1118,,/u01/RA_OPS/Test_New_Loader/Final/ERP/STCS_On-Hand_Quantity_Report
gls_revunue_discount,No,329,gls_revunue_discount_May-2024.csv,5/5/2024 9:43,-5.20E-05,STC_GL_RBM_D,329,,/u01/RA_OPS/Test_New_Loader/Final/gls
stc_marketplace_service_management_pricelist,No,16184,stc_marketplace_service_management_pricelist-2024_04_19.csv,5/5/2024 9:43,-3.80E-05,A_PRICE_LIST,16184,,/u01/RA_OPS/Test_New_Loader/Final/Cloud
/home/sdev/ROOT/Granite/DIA,No,34274,DIAL_Feb-2024.csv,2/8/2024 12:35,-0.000117,PRD_GRANITE,34274,,/u01/RA_OPS/Test_New_Loader/Final/GraniteDIA
gls_revunue_usage,No,626,gls_revunue_usage_May-2024.csv,5/5/2024 9:43,-3.00E-05,STC_GL_RBM_u,626,,/u01/RA_OPS/Test_New_Loader/Final/gls
invoice_items_kb,No,2754244,invoice_items_kb-2024_01_12.csv,1/18/2024 11:01,-0.000116,A_KILLBILL_INVOICES_ITEMS,/u01/RA_OPS/Test_New_Loader/Final/Cloud,,
/home/sdev/ROOT/Granite/MRS,No,209428,IP_Dec-2023.csv,2/8/2024 12:28,-0.000115,PRD_GRANITE_MRS_FILES,209428,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/Granite/MRS,No,6183,SKY_Jan-2024.csv,2/8/2024 12:06,-0.000114,PRD_GRANITE_MRS_FILES,6183,,/u01/RA_OPS/Test_New_Loader/Final/GraniteMRS
/home/sdev/ROOT/Granite/VSAT,No,976,SATPtP_Feb-2024.csv,2/8/2024 12:37,-0.000111,PRD_GRANITE,976,,/u01/RA_OPS/Test_New_Loader/Final/GraniteVSAT
